id,title,image_link,country,years,director_description,leader,star,description,tags,imdb,language,time_length,Unnamed: 13
1856,Summer in Xixiaohe,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2522331711.jpg,Chinese mainland,2018-05-25(中国大陆),comprehensive,"['Zhang Songwen', 'Tan Zhuo', 'Gu Baoming', 'Dong Qing', 'Rong Zishan']",6.7,"In the summer of 1998, Del Piero competed in the World Cup, and 10-year-old Xiaoyang wanted to be like him. His father, a teacher, refused to sign his application for the school team, and his mother, who was busy competing for the Plum Blossom Award, had no time to talk to him. When he was young and had no brothers or sisters, the strange grandpa next door became Xiaoyang's good friend. They play football together and travel together. During the lonely summer, he glimpsed the secrets of his father, mother and grandfather. Will Xiaoyang in 2018 still miss that sultry, beautiful and troubled summer?",Drama/Family,https://www.imdb.com/title/tt5644394,Mandarin Chinese,102分钟,
1857,Girl Girl,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2558211613.jpg,Belgium / Netherlands,2018-05-12(戛纳电影节),Lucas DeHot,"['Victor Polster', 'Arie Vosholt', 'Oliver Bodart', 'Thiemen Gowaltz', 'Katjan Damen', 'Valentijn Darnes', 'Chris Theis', 'Angelo Thiessen', 'Alicia Depek']",8.1,"The protagonist Lara joined the ballet class at the ""old age"" of 15 years old. Because she started later than other girls, she worked hard every day and refused to rest even until her toes were broken and bleeding.
                                    
                                Lara's dream is not just to be a ballet dancer - she also wants to be a girl. Yes, ""he"" is actually the eldest son in the family, named Victor... Fortunately, her father has always been there to encourage her, accompany her to receive hormone treatment, and support her wholeheartedly in realizing her dream.",Drama/homosexual,https://www.imdb.com/title/tt8254556,French / Flemish / English,105分钟,
1858,shout mountain,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2373887821.jpg,Chinese mainland,2016-08-26(中国大陆),Yang Zi,"['Lang Yueting', 'Wang Ziyi', 'Cheng Taishen', 'Yu Ailei', 'Guo Jin', 'Xu Caigen', 'Zhao Chendong', 'Li Siying', 'Zhang Zimu']",8.0,"An accident occurred in the closed mountains. La Hong (played by Yu Ailei) accidentally stepped on the explosive set by Han Chong (played by Wang Ziyi) for hunting and died, leaving behind a mute wife (played by Lang Yueting) and a pair of children. Everyone discussed with Han's father (played by Cheng Taishen) and decided to let Han Chong pay money and go private. But the mute wore red clothes, cried and laughed, and didn't care about compensation at all. Everyone thought she was crazy because of the stimulation, and Han Chong could only temporarily take care of the lives of the mother and son. As they get along, the two get closer and closer, and the mystery of the mute's twists and turns of life is gradually revealed. When the two are about to start a new life, La Hong's murder case becomes more complicated again. At this critical juncture, only the mute can tell the truth...",Drama/Romance/Crime,https://www.imdb.com/title/tt4170472,Mandarin Chinese,111分钟(中国大陆),
1859,12 golden ducks 12 golden ducks,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2244031573.jpg,"Hong Kong, China",2015-02-19(中国香港),Zou Kaiguang,"['Sandra Ng', 'Louis Koo', 'Lau Ho-Lung', 'Anthony Wong', 'Pakho Chow', 'Shao Meijun', 'Yan Cheng', 'Wai Sze Nga', 'Lou Mixue', 'Xu Siu Hung', 'Chrissie Chau', 'Michelle Chen', 'Kwok Tze Kin', 'Eason Chan', 'Lee Lee', 'Simon Yam', 'Jiang Haowen', 'Cai Hanyi', 'Lu Yan', 'Yao Jiahao', 'Wang Wanzhi', 'Huang Weiwen', 'Li Shiyi', 'Guan Chuyao', 'Xian Seli', 'Chen Jiale', 'Zhao Shuozhi', 'Sun Jianhong', 'Yan Zifei', 'Lin Zhaoxia', 'Lu Haipeng', 'Sit Kai-chi', 'Leung Luo Shi', 'Chen Jing', 'Nicholas Tse', 'Yung Joey', 'Ruan Zhaoxiang', 'Yip Weixin', 'Lu Yong', 'Ng Junxiang', 'Ou Yongquan', 'Feng Mianheng', 'Zhao Wei', 'Lu Han', 'Peng Yuyan']",5.2,"Future (played by Sandra Ng), the heartthrob of the duck world who was once popular among women, was severely traumatized by his relationship and fled Thailand to live a decadent life. Fortunately, he was inspired by his friend Teacher Lu, so he decided to return to Hong Kong and found the fitness coach Rocky to help him rebuild his body shape. He was ambitious to regain his glory in the duck world!
                                        
                                    However, Future never expected that Hong Kong has undergone several personnel changes in the past few years, and even the duck shop has undergone great changes! The place where he made money from women has changed from the nightclub to the current nursing home, a Thai restaurant with Qian Kun, etc... Faced with the changes in the environment, Future took the ducks Di Wei, Liu Yun, and Finance Chen to face the difficulties, and tried their best to meet the various requirements of the customers and bring them happiness.
                                        
                                    Future treats people with sincerity, so he has received help from many noble people, such as Aunt Mei in the nursing home, Brother King who sells tonics, Thai restaurant owner Hammer, Poy and old duck Peng Yuyan, etc. Finally, he got a once-in-a-lifetime opportunity, which was to be selected by the popular socialite Liang Lixiaoxian. He would dance with her on a TV show with a group of ducks, and become famous at any time! Everyone was grateful to Future for his leadership, and...",love,https://www.imdb.com/title/tt4409852,Cantonese / Mandarin Chinese / English / Thai,84分钟,
1860,Hereditary,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2518865763.jpg,USA,2018-01-21(圣丹斯电影节),Ari Aster,"['Alex Wolff', 'Gabrielle Byrne', 'Toni Collette', 'Millie Shapiro', 'Christy Somerhays', 'Morgan Lund', 'Mallory Bechtel', 'Jack Brown', 'Brian Rachel', 'Heidi Mendez', 'Moises L. Tovar', 'Jarrod Phillips', 'Ann Dowd', 'Brock McKinney', 'Zachary Arthur', 'Austin R. Grant']",7.1,"Anne (Toni Collette) and her husband Steven (Gabriel Byrne) live with their eldest son Peter (Alex Wolff). Their youngest daughter Charlie (Milly Shapiro) was raised by Anne's mother Ellen. In fact, the relationship between Anne and her mother was very estranged, and after Alan's death, Charlie returned to his parents.
                                    
                                Ever since Charlie returned home, strange events began to happen one after another at home. Mysterious totems, unfamiliar names and elusive uninvited guests have enveloped the family in a depressing atmosphere. Due to Peter's negligence, a car accident claimed the life of Charlie. Charlie's death accelerated the division between family members. In Anne's most desperate days, a woman named Joan (Ann Dowd) appeared beside her. She claimed that she had special powers that could summon souls.",fear,https://www.imdb.com/title/tt7784604,English,127分钟,
1861,Monsieur & Madame Adelman,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2598060872.jpg,France/Belgium,2017-03-08(法国),Nicholas Bedos,"['Doria Tilliers', 'Nicolas Bedos', 'Deni Podalides', 'Antoine Goulli', 'Christina Millet', 'Pierre Aditi', 'Zab Breitman', 'Julian Poiselier', 'Jean-Pierre Rowlett', 'Jack Lang', 'Nicolas Briançon', 'Betty Reicher', 'Ronald Guttman']",8.3,"When the famous author Victor Adelman passed away, a reporter contacted his wife, Sarah, hoping to be the first to report on the great writer's life. As the curtain of memory is slowly opened, the love process of Victor and Sarah for nearly half a century is finally presented to the world. However, behind the sweet life, how many unknown secrets are buried in this model couple in the eyes of the world? Who is the mysterious woman behind her husband? When romantic love encounters betrayal by infidelity, and when true love is fueled by burning ambition, how can they resolve the various crises in their marriage?",love,https://www.imdb.com/title/tt6095616,French,120分钟,
1862,Secret Superstar,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2508925590.jpg,India,2018-01-19(中国大陆),Adva Chandon,"['Saira Worthy', 'Meh Vijay', 'Aamir Khan', 'Raj Ajing', 'Tis Sharma', 'Kabir Shaikh', 'Farooq Jafar', 'Manoj Sharma', 'Mona Ambergakar', 'Nikita Anand', 'Shang', 'Monali Thakur']",7.7,"The girl Isia (played by Zaira Wasim) has a naturally good voice and is full of love for singing. She dreams of becoming a singer. However, Isiah lives in an unfree family. Her mother Najma (Meher Vij) is often attacked by her father Faruk (Raj Arjun), who has a explosive personality. Isiah knows that it is completely impossible to get his father to support his music dream.
                                    
                                One day, her mother sold her gold necklace to buy a computer for Isiah. Soon, Isiah discovered that although she could not realize her dream in reality, there was a broader stage on the Internet. Isiah recorded a video of herself playing and singing with her face covered and uploaded it to YouTube. Unexpectedly, it received an extremely enthusiastic response. The famous musician Shakti (played by Aamir Khan) also extended an olive branch to her.",Story/Music,https://www.imdb.com/title/tt6108090,Hindi / English,150分钟,
1863,Military paradise Military paradise,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2244406291.jpg,Taiwan / Mainland China,2014-09-05(中国台湾),Niu Chengze,"['Ethan Juan', 'Wan Qian', 'Chen Yihan', 'Chen Jianbin', 'Wang Baijie', 'Miao Keli', 'Chen Datian', 'Hong Shengde', 'Chen Kuangrong', 'Liao Qizhi', 'Shi Zhitian']",7.3,"Hailong rookie Xiaobao (played by Ruan Jingtian) came to Kinmen, where the sea and sky are the same color, but what greeted him was the iron-blooded training brought by the devil sergeant Elder Zhang (played by Chen Jianbin). After being dismissed from training, he was assigned to a special tea room known as the ""military paradise"", but here he met Hua Xing (played by Wang Baijie), a friend from the new training center, and also discovered the secret of Lao Zhang's special liking for Gillian (played by Chen Yihan). At this time, he was attracted by the waiter Nini (played by Wan Qian), and a subtle love began...
                                    
                                Just when everything seemed to be going well, an accident happened in the tea room, and there was a rumbling wind. Xiaobao accidentally learned Nini's deepest secret! As his world begins to shake, change ensues...",Drama/Romance/History,https://www.imdb.com/title/tt4012914,Mandarin Chinese,133分钟,
1864,Asura 아수라,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2375744186.jpg,South Korea,2016-09-12(多伦多电影节),Kim Sung-soo,"['Jung Woo-sung', 'Hwang Jung-min', 'Ju Ji-hoon', 'Kwak Do-won', 'Jung Man-sik', 'Kim Won-hae', 'Yin Jae-moon', 'Yoon Ji-hye']",7.4,"Detective Han Do-kyung (played by Jung Woo-sung), who is in the eye of the typhoon, is caught between Mayor Park Sung-bae (played by Hwang Jung-min) and the criminal police team investigating him, doing whatever it takes to survive. Mayor Park Sung-bae, the biggest villain in the film, does everything in pursuit of personal gain. Interpol Moon Hyun-mo (played by Ju Ji-hoon), under the order of Han Do-kyung, approached Mayor Park to work undercover. On the other hand, prosecutor Kim Che-in (Kwak Do-won) of the special inspection detachment is also investigating Mayor Park Sung-bae, and he is a ruthless character. In order to achieve success, Han Do-kyung did not hesitate to clean up the various criminal activities of Mayor Park Sung-bae and receive rewards from it. After Han Dujing learned that his wife was suffering from cancer, he used the excuse of raising medical expenses to make money regardless of the means. He gradually deviated from the professional ethics of the police and embarked on a wrong path. Kim Che-in, the prosecutor in charge of special cases, grasps Han Do-kyung's weaknesses. Do Changxue (Jung Man-sik), the captain of the criminal police investigation team, also threatens Han Do-kyung in order to obtain Park Sung-bae's criminal evidence. Junior detective Moon Sun-mo regards Han Do-kyung as a real brother and joins Park Sung-bae's gang to do undercover work. Han Dujing was in a dilemma between the two forces, and Wen Xianmo was slowly being corroded at this time. In this way, several men are fighting for survival...",Drama/Action/Crime,https://www.imdb.com/title/tt5918028,Korean,133分钟,
1865,Shin Godzilla シン・ゴジラ,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2371512648.jpg,Japan,2016-07-29(日本),Hideaki Anno,"['Hasegawa Hiroki', 'Takenouchi Yutaka', 'Ishihara Satomi', 'Kora Kengo', 'Osugi Ren', 'Aramoto Akira', 'Yuki Miko', 'Ichikawa Minoru', 'Kunimura Hayabusa', 'Hiraizumi Cheng', 'Matsuo Yu', 'Watanabe Tetsu', 'Nakamura Ikuji', 'Yajima Kenichi', 'Tsuda Kanji', 'Tsukamoto Shinya', 'Issey Takahashi', 'Ken Mitsuishi', 'Arata Furuta', 'Matsuo Suzuki', 'Tsurumi Tatsugo', 'Taki Masanori', 'Katagiri Iru', 'Koide Keisuke', 'Saito Gong', 'Maeda Atsuko', 'Tezuka Michi', 'Nomaguchi Toru', 'Kuroda Daisuke', 'Hashimoto Jun', 'Kobayashi Takashi', 'Suwa Taro', 'Fujiki Takashi', 'Shimada Hisaku', 'Kamio Yu', 'Miura Takadai', 'Moro Shioka', 'Inudo Isshin', 'Hara Kazuo', 'Ogata Akira', 'Ishigaki Yuma', 'Nomura Mansai']",6.7,"A shipwreck suddenly occurred in the calm Tokyo Bay. While people were still wondering whether an undersea volcano had erupted, a huge monster emerged from the water and landed in the city. The Japanese government led the establishment of the ""Ministry of Giant Unknown Biological Disasters"" and recruited strange people from the country to join in. Research found that the monster was born from radioactive contamination and named it Godzilla. After trying various methods but failing, the ""Ministry of Disasters"" finally had to decide to launch an armed attack on Godzilla. But this giant monster Godzilla has completed an even more terrifying evolution, and the entire Tokyo will become a hell on earth. A final battle between humans and monsters is about to come...
                                    
                                The film is a Japanese live-action film that grossed over 8 billion at the Japanese box office in 2017, and swept seven awards at the 40th Japan Film Academy; the monster in the film is also known as the ""largest version"" of the entire Godzilla series.",Drama/Science Fiction/Disaster,https://www.imdb.com/title/tt4262980,Japanese / English,120分钟,
1866,Pacific Rim Pacific Rim,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2043625972.jpg,USA,2013-07-31(中国大陆),Guillermo del Toro,"['Charlie Hunnam', 'Rinko Kikuchi', 'Idris Elba', 'Charlie Day', 'Ron Perlman', 'Robert Kaczynski', 'Max Martini', 'Bern Gorman', 'Clifton Collins Jr.', 'Aina Ashida', 'Diego Kletthoff', 'Heather Doxon', 'Robert Meyer', 'Yoo Chi-fu', 'Yoo Chi-man', 'Liu Zhitang']",7.6,"In the near future, the global environment will gradually deteriorate. The mysterious alien colonists sent huge, cold, fast, and poisonous monsters to the earth one after another through the wormhole ""gap"" at the bottom of the ocean, and methodically implemented their colonial destruction plan. To this end, mankind teamed up to create the ""Jaeger Project"" to create mecha warriors that were comparable in size to the monsters. However, as the monsters gradually evolved, the mecha warriors were completely defeated. Politicians from various countries tried to build a defensive ""wall of life"" to block the invaders, but they soon encountered setbacks. At this critical juncture, General Steck Pentecost (Idris Elba), who is still secretly promoting the ""Jaeger Plan"", retrieves the ""Danger Wanderer"" driver (Charlie Hunnam) who suffered a major blow five years ago, and through strict selection, he selected a new partner Asako Mori (Rinko Kikuchi). The resurrected ""Wanderer"" is about to face the more powerful monster invaders with the other three remaining mecha warriors, while looking for a good opportunity to completely wipe out the enemy.
                                    
                                Above the vast sea, battles to defend mankind begin one after another...",Action/Science Fiction/Adventure,https://www.imdb.com/title/tt1663662,English / Japanese / Cantonese / Mandarin Chinese / Russian,131分钟,
1867,reverse time rescue,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2472784892.jpg,Chinese mainland,2017-06-29(中国大陆),Yin Hongcheng,"['Yang Mi', 'Huo Jianhua', 'Jin Shijie', 'Liu Chang', 'Zhang Yihan', 'Wang Lidan']",4.8,"Single mother Xia Xia (played by Yang Mi), as a senior researcher at the Institute of Physics, worked with the director to develop technology that allows organisms to travel through wormholes in time. When the research made a breakthrough, her son Doudou (played by Zhang Yihan) was kidnapped by the mysterious kidnapper Cui Hu (played by Huo Jianhua). In order to save Doudou's life, Xia Tian took the risk of using unfinished particle technology Returning to 1 hour and 50 minutes ago made things more complicated, and encountered an unexpected dilemma: having to face the mutual interaction of three mutations during time travel. And the story behind Cui Hu gradually emerged...",action/sci-fi,https://www.imdb.com/title/tt5342650,Mandarin Chinese,106分钟,
1868,you are the murderer,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2573691764.jpg,Chinese mainland,2019-11-22(中国大陆),Wang Yu,"['Wang Qianyuan', 'Song Jia', 'Feng Yuanzheng', 'Li Jiuxiao']",5.7,"Ten years ago, Bai Lan's (played by Song Jia) daughter Lingdang was kidnapped and died accidentally. Crime team police officer Chen Hao (played by Wang Qianyuan) promised that the child's mother would bring the murderer to justice. After a long investigation but found nothing, Chen Hao left the police force with regrets. Ten years later, Chen Hao accidentally discovered new clues. The terminally ill Bai Lan regained hope and determined to find the woman's murderer. The two launched an investigation and discovered clues left by the criminal. At the same time, the granddaughter of Li Aijun (played by Feng Yuanzheng) was also kidnapped. The kidnapping method was the same as 10 years ago. Faced with the cunning suspect, can Chen Hao and Bai Lan catch the murderer and fulfill their long-cherished wish...",Drama/Suspense/Crime,https://www.imdb.com/title/tt10097530,Mandarin Chinese,94分钟,
1869,Fighting cancer 50/50,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1114406235.jpg,USA,2011-09-30(美国),Jonathan Levine,"['Joseph Gordon-Levitt', 'Seth Rogen', 'Anna Kendrick', 'Bryce Dallas Howard', 'Anjelica Huston']",7.7,"Adam (Joseph Gordon-Levitt), a good young man, lives a happy life, with a smooth job and a harmonious family. Unexpectedly, the back pain that occasionally bothers him is actually diagnosed as cancer with a 50/50 cure rate. The blow of the disease, the departure of his girlfriend Rachel (Bryce Dallas Howard), and the grief of his mother made Adam, who was originally confident in facing the disease, gradually feel depressed and desperate. Only his best friend Kyle (Seth Rogen) has been by his side in his own way. Catherine (Anna Kendrick) is an inexperienced psychiatrist who is responsible for Adam's emotional counseling. On the surface, she is professional and calm in solving people's problems, but her life and emotions are in a mess. Two frustrated people met under the special circumstances of illness. From the initial misunderstanding to reconciliation, they gradually felt that perhaps the most important thing in the world was by their side.
                                        
                                    The film is adapted from the real experience of screenwriter Will Reeser,...",Drama/Comedy,https://www.imdb.com/title/tt1306980,English,100分钟,
1870,Phantom Thread,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2506487968.jpg,USA/UK,2017-12-25(美国点映),Paul Thomas Anderson,"['Daniel Day-Lewis', 'Vicki Cripps', 'Lesley Manville', 'Camilla Rutherford', 'Gina McKee', 'Brian Gleeson', 'Harriet Sansom Harris', 'Richard Graham', 'Silas Carson', 'Julia Davis', 'Jane Perry']",7.5,"The story takes place in London in the 1950s. Reynolds (Daniel Day-Lewis) and his sister Sirio (Lesley Manville) run a clothing factory called ""Woodcock House"" together. Among London's upper class at that time, it was the wish of every prince, dignitary and celebrity to wear a dress sewn by Reynolds himself.
                                    
                                By chance, Reynolds met a waitress named Alma (Vicky Krieps) in a restaurant, and the two fell in love at first sight. Reynolds led Alma into the colorful world, but Alma's eyes were always fixed on Reynolds' figure. In life, Reynolds is a particularly difficult and picky eccentric. As they get along day and night, conflicts often arise between him and Alma. Seeing Reynolds's attitude becoming more and more cold, Alma knew that she must take action to defend her love.",Drama/Romance,https://www.imdb.com/title/tt5776858,English / French,130分钟,
1871,Once Upon a Time... in Hollywood,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2551119672.jpg,United States / United Kingdom / Mainland China,2019-05-21(戛纳电影节),quentin tarantino,"['Leonardo DiCaprio', 'Brad Pitt', 'Margot Robbie', 'Emile Hirsch', 'Margaret Qualley', 'Timothy Olyphant', 'Julia Butters', 'Austin Butler', 'Dakota Fanning', 'Bruce Dern', 'Mac Moe', 'Luke Berry', 'Damian Lewis', 'Kurt Russell', 'Al Pacino', 'Maya Hawke', 'Sydney Sweeney', 'Harley Quinn Smith', 'Damon Herriman', 'Kate Berlant', 'Lorenza Izzo', 'Michael Madsen', 'Ramo Willis', 'Scott McNairy', 'Clifton Collins Jr', 'Victoria Pedretti', 'Rebecca Gayhart', 'Zoe Bell', 'Leslie Bega', 'Rebecca Rittenhouse', 'Samantha Robinson', 'Lena Dunham', 'Drema Walker', 'Crew Gulag', 'Daniella Peake', 'Brenda Vaccaro', 'Nicholas Hammond', 'Mickey Maddison', 'James Landry Herbert', 'Nicole Galicia', 'Madison Beatty', 'Penelope Capdia', 'Maurice Conte', 'Costa Ronin', 'Lou Temple', 'Spencer Garrett', 'Brianna Joy Choumer', 'Omar Doom', 'Natalie Cohen', 'Rafal Zaverucha', 'Marco Rodriguez', 'Kansas Pauline', 'Vicente Laresca', 'Yinbal Amiraf', 'Ramon Frank', 'Monica Stagis', 'Craig Stark', 'David Steen', 'Juliet Guida', 'Eddie Perez', 'Brady LaDonna', 'Kayla Radomski', 'Brianna Wynn', 'Carolina Vargas', 'Gary Paywhite']",7.3,"The story unfolds in the rapidly changing Los Angeles in 1969. In that turbulent era of change, hippie culture prevailed, the Hollywood studio system collapsed, and new Hollywood stars emerged one after another. How TV star Rick Dalton (Leonardo DiCaprio) and his long-term stunt partner Cliff Booth (Brad Pitt) find their place in the increasingly unfamiliar entertainment industry. They are trying to become famous in the film industry, but they find that this industry is no longer what they imagined... This is the ninth film written and directed by Quentin. It brings together a star-studded cast and intertwined plots to commemorate the golden age of Hollywood that will never return.",Drama/Comedy,https://www.imdb.com/title/tt7131622,English / Italian / Spanish,165分钟,
1872,Battleship Island 군함도,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2462745948.jpg,South Korea,2017-07-26(韩国),Liu Shengwan,"['Hwang Jung-min', 'So Ji-sub', 'Song Joong-ki', 'Lee Jung-hyun', 'Lee Kyung-young', 'Kim Soo-an', 'Yoon Kyung-ho', 'Baek Seung-cheol', 'Kang Sung-cheol', 'Kim In-woo', 'Park Ye-seung', 'Jung Man-sik', 'Park Jung-beom', 'Kim Min-jae']",7.8,"The film tells the story of more than 400 Korean refugees who were forcibly conscripted to Japanese warship islands during the Japanese colonial period, trying to escape to avoid being killed.",Drama/Action/History,https://www.imdb.com/title/tt5969696,Korean,132分钟,
1873,Now You See Me,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2151336415.jpg,United States / France,2013-10-10(中国大陆),Louis Leterrier,"['Jesse Eisenberg', 'Isla Fisher', 'Woody Harrelson', 'Dave Franco', 'Mark Ruffalo', 'Melanie Laurent', 'Morgan Freeman', 'Michael Caine', 'Michael Kelly']",7.7,"In the city of Las Vegas, an unprecedented magic show is taking place in the luxurious performance hall, starring Daniel Atlas (Jesse Eisenberg), Henry Reeves (Isla Fisher), Jack Wilder (Dave Franco) and Merritt McKinney (Woody Harrelson). The ""Four Horsemen"" composed of four magicians who worked together seamlessly stole 3.5 million euros in banknotes from the vault of a French bank in full view of the public. This move caused a sensation on the scene and around the world. FBI agent Rod (Mark Ruffalo) and Interpol Elma Dray (Mélanie Laurent) were ordered to investigate the four people, but found nothing. In desperation, they have no choice but to turn to the famous magician Bradley (Morgan Freeman).
                                        
                                    Magician, thief, FBI agent, the most exquisite combination of light and shadow...",Drama/Suspense/Crime,https://www.imdb.com/title/tt1670345,English / French,115分钟,
1874,Doctor Strange Doctor Strange,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2388501883.jpg,USA,2016-11-04(中国大陆/美国),Scott Derrickson,"['Benedict Cumberbatch', 'Tilda Swinton', 'Mads Mikkelsen', 'Chiwetel Ejiofor', 'Rachel McAdams', 'Michael Stuhlbarg', 'Benedict Wong', 'Benjamin Bratt', 'Scott Adkins', 'Sarah Fishian', 'Ara Safi']",7.6,"Dr. Strange (Benedict Cumberbatch) is a surgeon. He possesses superb IQ and superb skills. He is a legend in the hospital and even the entire medical world. One day, Dr. Strange suffered a terrible car accident. Although he saved his hands, they were scarred and trembling, which meant that he could no longer pick up a scalpel and stand under the shadowless light.
                                    
                                Dr. Strange's life lost its meaning and fell into despair. He decided to go to Nepal to find the legendary mysterious power that could heal his hands. In Nepal, the dusty Dr. Strange becomes a disciple of the mysterious Ancient One Master (Tilda Swinton). At the same time, Casillas (Mads Mikkelsen), a former disciple of the Ancient One Master, is also watching, trying to complete his great cause of gaining eternal life.",Action/Fantasy/Adventure,https://www.imdb.com/title/tt1211837,English,115分钟,
1875,McDull·Me and my mother McDull·Me and my mother,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2551331237.jpg,Hong Kong / Mainland China,2014-10-01(中国大陆/中国香港),Xie Liwen,"['Huang Lei', 'Sandra Ng', 'Zhang Zhengzhong', 'Anthony Wong', 'Cai Mingli', 'Cai Hanyi', 'Li Yundi']",8.5,"In the dilapidated corners of the city, a bald-headed old police officer from the serious crime team has been on the job for thirty years. Although he has solved many major cases and is covered in scars and bullets, his family situation is in a mess. His wife divorced him, and his son thought he smelled bad. Opposite the old policeman, the young private detective Bobby (voiced by Huang Lei) is in full swing. The FBI invites him to give lectures, and related cartoons are popular. Bobby has become a Sherlock Holmes-like existence. After a certain murder in a secret room, the old policeman had no choice but to invite Bobby to investigate. Why Bobby is so powerful seems to have something to do with his mother Mai Tai (voiced by Sandra Ng). Under the questioning of the children who admired him, Bobby's thoughts returned to his childhood, the happy and carefree childhood when McDull (voiced by Zhang Zhengzhong) and his mother lived together. Everything good was already destined...",Comedy/Animation/Family,https://www.imdb.com/title/tt4179512,Chinese Mandarin / Cantonese,81分钟,
1876,orange miracle orange オレンジ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2293954725.jpg,Japan,2015-12-12(日本),Hashimoto Kojiro,"['Tsuchiya Taiho', 'Yamazaki Kento', 'Ryuusei Ryo', 'Yamazaki Hona', 'Sakurada Dori', 'Shimizu Kurumi']",6.9,"The June issue of Futabasha's ""Monthly Action"" magazine will announce that the shojo manga ""Orange"" created by Takano Berry has been confirmed to be filmed as a live-action movie and will be released at Toho Cinemas in December 2015.
                                    
                                Takano Berry began serialization in Shueisha's ""Bessatsu Margarita"" in 2012, and moved to Futabasha's ""Monthly Action"" in 2013. ""Orange"" tells the story of the heroine Takamiya Naho, who received a letter from her 26-year-old self at the beginning of school, and hoped that she would make better choices based on the content of the letter.",Drama/Romance/Science Fiction,https://www.imdb.com/title/tt4636298,Japanese,139分钟,
1877,holy mourning 피에타,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1699450600.jpg,South Korea,2012-09-04(威尼斯电影节),Kim Ki-duk,"['Lee Jung-jin', 'Jo Min-soo', 'Oh Ki-hong', 'Kang Eun-jin']",7.8,"This film won the Golden Lion Award, the highest award at the 69th Venice Film Festival, and is Kim Ki-duk's 18th film.
                                    
                                Li Jiangdao (played by Li Tingzhen) is a heinous loan shark. He has no family or lovers. The focus of his life is to collect debts from debtors every day. He has a cold nature and cruel methods. He often threatens others with violence and even beats everyone who owes his debts to disability. Those families whose debts were collected by Jiang Dao have since then lived a broken life without dignity. But suddenly one day, a middle-aged woman named Jiang Meishan (played by Zhao Minxiu) came to Jiang Dao and claimed that she was his biological mother, and Jiang Dao was her long-lost son. Jiang Dao, who longed for family affection, started a special ""mother-child relationship"" with this woman under dubious suspicion. Jiang Dao gradually tasted the warmth of family affection, but he didn't know that a conspiracy was waiting for him...",plot,https://www.imdb.com/title/tt2299842,Korean,104分钟,
1878,Spend a long time with Anthony,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2283607664.jpg,Chinese mainland,2015-11-13(中国大陆),Qin Xiaozhen,"['Liu Chang', 'Bai Baihe', 'Tang Yixin', 'Bai Jugang', 'Jin Shijia', 'Jiang Yiyan', 'Gao Shengyuan', 'He Haochen', 'Song Yunhua', 'Pan Hong', 'Yu Rongguang', 'Lu Yan']",6.1,"The film is about a boy's life fragments and inner feelings from the age of 20 to 23, from college to work, from home to abroad. Anthony (played by Liu Chang) is an ordinary boy who is not special and can't say cool things. He studied in Melbourne from Dalian when he was 20 years old, and met Xiaoxuan (played by Tang Yixin), Jiaming (played by Bai Jugang), Xiaohei (played by Song Yunhua), Pierre (played by Bruce) and many other friends. During these long years, a series of romantic, sweet, funny, or touching stories happened. And he also thinks about Sakura (played by Bai Baihe) who is far away in Japan. What will happen when they meet in Tokyo two years later...
                                    
                                The film is adapted from Anthony's best-selling work of the same name.",Drama/Romance,https://www.imdb.com/title/tt4892682,Mandarin Chinese,121分钟,
